domain,motif,property,property_short,n_present,n_absent,present_median_abs_log_error,absent_median_abs_log_error,delta_median_abs_log_error
cat,imidazolium,Density,Density,1780,857,0.002694851352787353,0.002273616899482356,0.0004212344533049972
cat,imidazolium,Viscosity,Visc.,1375,395,0.05401488820039324,0.06044630108919513,-0.006431412888801891
cat,imidazolium,ElectricalConductivity,EC,564,159,0.05838090476675134,0.09341386477844171,-0.03503296001169037
cat,imidazolium,HeatCapacity,HC,1367,116,0.0050834902667187265,0.006836212447464796,-0.0017527221807460691
cat,imidazolium,SurfaceTension,ST,687,93,0.010005779990867048,0.01358051559696083,-0.003574735606093782
cat,imidazolium,ThermalConductivity,TC,92,31,0.008477958465364144,0.0036217477483408977,0.004856210717023246
cat,pyridinium,Density,Density,188,2449,0.0028224157257774607,0.002539241591970054,0.00028317413380740675
cat,pyridinium,Viscosity,Visc.,133,1637,0.0570034851724559,0.05544416273681119,0.0015593224356447166
cat,pyridinium,ElectricalConductivity,EC,62,661,0.04954257727643674,0.06591492869291282,-0.016372351416476083
cat,pyridinium,HeatCapacity,HC,101,1382,0.00827695370171,0.005047511044259156,0.003229442657450843
cat,pyridinium,SurfaceTension,ST,74,706,0.005839886373719683,0.01158301634504455,-0.005743129971324867
cat,pyridinium,ThermalConductivity,TC,3,120,,,
cat,quaternary N,Density,Density,2083,554,0.002758510871990083,0.0019133312384091994,0.0008451796335808837
cat,quaternary N,Viscosity,Visc.,1523,247,0.05476492640983999,0.05948468715747213,-0.00471976074763214
cat,quaternary N,ElectricalConductivity,EC,600,123,0.05838090476675134,0.09585895203504824,-0.0374780472682969
cat,quaternary N,HeatCapacity,HC,1419,64,0.0051163812811605425,0.007300912526857051,-0.0021845312456965083
cat,quaternary N,SurfaceTension,ST,717,63,0.010037140646102838,0.014877806507090252,-0.004840665860987414
cat,quaternary N,ThermalConductivity,TC,98,25,0.008103092157071501,0.003431852795277024,0.004671239361794477
cat,protic N-H,Density,Density,325,2312,0.0014706146776299889,0.002786525218220426,-0.001315910540590437
cat,protic N-H,Viscosity,Visc.,64,1706,0.0861168740840541,0.0550239437878558,0.031092930296198307
cat,protic N-H,ElectricalConductivity,EC,32,691,0.09774283393258132,0.0622888740715945,0.03545395986098682
cat,protic N-H,HeatCapacity,HC,20,1463,0.0028762293552380136,0.005268545980999129,-0.002392316625761115
cat,protic N-H,SurfaceTension,ST,7,773,,,
cat,protic N-H,ThermalConductivity,TC,1,122,,,
cat,phosphonium,Density,Density,181,2456,0.0027925251996441247,0.0025467567184085382,0.0002457684812355865
cat,phosphonium,Viscosity,Visc.,147,1623,0.053486229100753846,0.05574409696528537,-0.0022578678645315264
