source_data_file,column,description,unit_or_scale
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,property,Thermophysical property represented by the row.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,feature,Machine-readable structural descriptor name.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,structural_scope,"Cation, anion, or ion-pair scope of the descriptor.",not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,data_type,Experimental or model-derived evidence source.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,analysis_weighting,Weighting unit used in the statistical analysis.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,n_records,Number of condition-level records.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,n_unique_ils,Number of unique ionic-liquid identities.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,n_cation_families,Number of represented cation families.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,n_anion_families,Number of represented anion families.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,partial_correlation,Condition-adjusted experimental partial correlation.,dimensionless
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,partial_p,Unadjusted P value for the experimental partial correlation.,dimensionless
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,model_partial_correlation,Condition-adjusted model-response partial correlation.,dimensionless
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,model_partial_p,Unadjusted P value for the model-response partial correlation.,dimensionless
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,family_consistency,Family consistency.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,family_comparison_count,Family comparison count.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,bootstrap_ci_low,Lower bound of the stated bootstrap confidence interval.,same scale as associated statistic
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,bootstrap_ci_high,Upper bound of the stated bootstrap confidence interval.,same scale as associated statistic
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,selection_stability,Bootstrap selection frequency.,fraction
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,eligibility_status,Eligibility status.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,exclusion_reason,Exclusion reason.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,pressure_missing_records,Pressure missing records.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,pressure_availability_in_design,Pressure availability in design.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,data_source_covariate,Data source covariate.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,response_scale,Response scale.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,fdr_scope,Fdr scope.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,causal_interpretation,Causal interpretation.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,feature_cluster,Feature cluster.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,unique_feature_values,Unique feature values.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,fdr_q,False-discovery-rate-adjusted q value.,dimensionless
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,model_fdr_q,FDR-adjusted q value for the model-response association.,dimensionless
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,effect_direction,Effect direction.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,selection_rank,Selection rank.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,main_figure_eligible,Main figure eligible.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,statistical_support,Statistical support.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,confidence_level,Audited evidence level used in the figure.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,line_alpha,Plotting opacity used for the evidence level.,fraction
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,abs_effect,Absolute magnitude of the visualized statistic.,dimensionless
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,line_width_pt,Plotting line width encoding effect magnitude.,pt
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,property_order,Property order.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,evidence_family,Evidence family.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,signed_effect,Signed statistic visualized in the evidence map.,dimensionless
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,interaction_category,Interaction category.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,attention_metric,Attention metric.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,low_group_mean,Low group mean.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,high_group_mean,High group mean.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,high_minus_low,High minus low.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,ci_excludes_zero,Ci excludes zero.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,low_group_unique_ils,Low group unique ils.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,high_group_unique_ils,High group unique ils.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,family_composition_total_variation,Family composition total variation.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,grouping_basis,Grouping basis.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,interpretation_scope,Interpretation scope.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,property,Thermophysical property represented by the row.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,feature,Machine-readable structural descriptor name.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,structural_scope,"Cation, anion, or ion-pair scope of the descriptor.",not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,data_type,Experimental or model-derived evidence source.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,analysis_weighting,Weighting unit used in the statistical analysis.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,n_records,Number of condition-level records.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,n_unique_ils,Number of unique ionic-liquid identities.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,n_cation_families,Number of represented cation families.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,n_anion_families,Number of represented anion families.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,partial_correlation,Condition-adjusted experimental partial correlation.,dimensionless
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,partial_p,Unadjusted P value for the experimental partial correlation.,dimensionless
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,model_partial_correlation,Condition-adjusted model-response partial correlation.,dimensionless
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,model_partial_p,Unadjusted P value for the model-response partial correlation.,dimensionless
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,family_consistency,Family consistency.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,family_comparison_count,Family comparison count.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,bootstrap_ci_low,Lower bound of the stated bootstrap confidence interval.,same scale as associated statistic
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,bootstrap_ci_high,Upper bound of the stated bootstrap confidence interval.,same scale as associated statistic
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,selection_stability,Bootstrap selection frequency.,fraction
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,eligibility_status,Eligibility status.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,exclusion_reason,Exclusion reason.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,pressure_missing_records,Pressure missing records.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,pressure_availability_in_design,Pressure availability in design.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,data_source_covariate,Data source covariate.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,response_scale,Response scale.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,fdr_scope,Fdr scope.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,causal_interpretation,Causal interpretation.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,feature_cluster,Feature cluster.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,unique_feature_values,Unique feature values.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,fdr_q,False-discovery-rate-adjusted q value.,dimensionless
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,model_fdr_q,FDR-adjusted q value for the model-response association.,dimensionless
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,effect_direction,Effect direction.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,selection_rank,Selection rank.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,main_figure_eligible,Main figure eligible.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,statistical_support,Statistical support.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,confidence_level,Audited evidence level used in the figure.,not applicable / categorical
figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,abs_effect,Absolute magnitude of the visualized statistic.,dimensionless
figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,property,Thermophysical property represented by the row.,not applicable / categorical
