bundle,source_data_file,column,description,unit_or_scale,definition_status,producer_path
computational_application_case,candidate_screening_trajectory_608.csv,candidate_id,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,cation_charge,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,anion_charge,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,generation_status,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,temperature_point_count_x,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,expected_temperature_point_count,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,temperature_grid_complete,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,candidate_type,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,cation_smiles,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,anion_smiles,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,il_smiles,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,canonical_il_key,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,canonical_cation_smiles,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,canonical_anion_smiles,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,cation_identity_key,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,anion_identity_key,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,cation_support_count,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,anion_support_count,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,conductivity_worst,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
computational_application_case,candidate_screening_trajectory_608.csv,conductivity_worst_temperature_K,Column retained verbatim from the producer source table.,As reported in the source table.,producer-defined,experiments/computational_application_case/scripts/build_auditable_evidence.py
